epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
001,2.132,1.654,2.086,0.195,0.181,0.083,0.028
002,1.710,1.154,1.725,0.503,0.543,0.486,0.225
003,1.633,1.037,1.655,0.755,0.853,0.824,0.442
004,1.581,0.958,1.618,0.636,0.722,0.689,0.354
005,1.538,0.892,1.585,0.761,0.840,0.828,0.453
006,1.515,0.861,1.571,0.842,0.905,0.899,0.527
007,1.491,0.829,1.547,0.768,0.905,0.880,0.525
008,1.474,0.814,1.531,0.837,0.918,0.906,0.554
009,1.456,0.795,1.521,0.853,0.911,0.910,0.546
010,1.446,0.778,1.512,0.854,0.917,0.914,0.545
011,1.435,0.764,1.510,0.878,0.929,0.933,0.599
012,1.421,0.751,1.498,0.843,0.896,0.901,0.543
013,1.420,0.746,1.498,0.872,0.920,0.923,0.572
014,1.406,0.735,1.487,0.832,0.923,0.916,0.573
015,1.404,0.734,1.488,0.869,0.923,0.925,0.576
016,1.395,0.719,1.481,0.874,0.932,0.929,0.588
017,1.393,0.714,1.473,0.881,0.929,0.936,0.602
018,1.388,0.708,1.477,0.882,0.924,0.930,0.575
019,1.382,0.700,1.465,0.869,0.925,0.927,0.576
020,1.376,0.701,1.465,0.888,0.928,0.940,0.597
021,1.380,0.691,1.467,0.878,0.920,0.932,0.583
022,1.369,0.685,1.462,0.888,0.928,0.939,0.598
023,1.367,0.682,1.459,0.888,0.937,0.942,0.610
024,1.369,0.683,1.458,0.892,0.936,0.944,0.604
025,1.362,0.678,1.456,0.905,0.938,0.951,0.618
026,1.359,0.676,1.451,0.897,0.934,0.947,0.605
027,1.350,0.672,1.446,0.897,0.937,0.948,0.610
028,1.356,0.670,1.454,0.883,0.938,0.943,0.602
029,1.349,0.665,1.445,0.900,0.934,0.948,0.611
030,1.348,0.663,1.444,0.899,0.940,0.949,0.616
031,1.336,0.657,1.436,0.898,0.933,0.949,0.613
032,1.334,0.658,1.437,0.898,0.932,0.948,0.612
033,1.343,0.658,1.437,0.900,0.935,0.950,0.610
034,1.334,0.653,1.430,0.900,0.933,0.950,0.605
035,1.337,0.659,1.439,0.898,0.933,0.948,0.607
036,1.331,0.651,1.436,0.905,0.934,0.951,0.611
037,1.331,0.645,1.434,0.904,0.936,0.951,0.611
038,1.326,0.645,1.426,0.904,0.938,0.953,0.612
039,1.326,0.644,1.427,0.903,0.940,0.952,0.611
040,1.323,0.643,1.424,0.903,0.938,0.951,0.612
041,1.317,0.638,1.419,0.905,0.939,0.953,0.613
042,1.320,0.642,1.427,0.905,0.939,0.954,0.614
043,1.318,0.636,1.424,0.905,0.939,0.954,0.615
044,1.312,0.633,1.418,0.903,0.937,0.953,0.614
045,1.307,0.627,1.411,0.904,0.938,0.953,0.614
046,1.311,0.626,1.415,0.906,0.938,0.953,0.614
047,1.302,0.623,1.408,0.906,0.940,0.953,0.615
048,1.306,0.625,1.416,0.906,0.940,0.954,0.615
049,1.314,0.626,1.419,0.905,0.940,0.953,0.615
050,1.302,0.623,1.406,0.905,0.939,0.953,0.615
051,1.300,0.623,1.408,0.905,0.940,0.954,0.615
052,1.301,0.623,1.408,0.906,0.941,0.955,0.616
053,1.295,0.619,1.402,0.906,0.941,0.955,0.617
054,1.294,0.620,1.404,0.907,0.941,0.955,0.617
055,1.300,0.622,1.407,0.906,0.941,0.955,0.618
056,1.293,0.614,1.399,0.908,0.941,0.955,0.618
057,1.294,0.614,1.403,0.908,0.942,0.956,0.619
058,1.298,0.612,1.402,0.909,0.941,0.956,0.619
059,1.291,0.614,1.400,0.909,0.941,0.956,0.620
060,1.286,0.611,1.399,0.909,0.940,0.956,0.619
061,1.286,0.610,1.396,0.909,0.940,0.956,0.620
062,1.287,0.610,1.397,0.910,0.940,0.956,0.620
063,1.282,0.606,1.391,0.909,0.941,0.956,0.621
064,1.279,0.607,1.390,0.909,0.940,0.956,0.621
065,1.285,0.606,1.396,0.909,0.941,0.956,0.621
066,1.279,0.603,1.388,0.909,0.941,0.956,0.621
067,1.284,0.608,1.393,0.909,0.941,0.956,0.622
068,1.278,0.602,1.386,0.909,0.941,0.956,0.622
069,1.276,0.603,1.387,0.909,0.941,0.956,0.623
070,1.275,0.602,1.387,0.908,0.941,0.955,0.623
071,1.277,0.598,1.388,0.907,0.942,0.955,0.622
072,1.270,0.599,1.386,0.907,0.943,0.956,0.623
073,1.278,0.600,1.396,0.908,0.943,0.955,0.623
074,1.272,0.594,1.388,0.907,0.942,0.955,0.623
075,1.273,0.600,1.388,0.908,0.942,0.956,0.623
076,1.274,0.598,1.383,0.907,0.942,0.955,0.623
077,1.266,0.598,1.385,0.907,0.942,0.955,0.623
078,1.269,0.599,1.383,0.907,0.942,0.955,0.624
079,1.270,0.592,1.387,0.908,0.942,0.955,0.624
080,1.277,0.599,1.388,0.907,0.943,0.955,0.623
081,1.264,0.594,1.382,0.907,0.943,0.955,0.623
082,1.259,0.588,1.373,0.907,0.944,0.955,0.623
083,1.266,0.591,1.383,0.907,0.944,0.955,0.623
084,1.267,0.592,1.376,0.907,0.944,0.955,0.623
085,1.265,0.592,1.379,0.907,0.946,0.956,0.623
086,1.263,0.591,1.374,0.907,0.945,0.955,0.622
087,1.256,0.585,1.375,0.907,0.946,0.955,0.622
088,1.267,0.591,1.381,0.906,0.946,0.955,0.621
089,1.255,0.588,1.372,0.906,0.947,0.956,0.621
090,1.260,0.585,1.374,0.905,0.948,0.955,0.621
091,1.251,0.582,1.374,0.905,0.948,0.955,0.620
092,1.253,0.584,1.373,0.905,0.948,0.956,0.620
093,1.253,0.579,1.370,0.905,0.948,0.956,0.620
094,1.256,0.582,1.374,0.904,0.949,0.956,0.619
095,1.251,0.580,1.369,0.905,0.948,0.956,0.619
